"CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL"
5623,7185
5575,6955
5725,6842
5660,7118
5807,6940
5707,6880
5521,6652
5532,7077
5640,6673
5753,7431
5729,7037
5729,6824
5394,7002
5413,6783
5690,7521
5412,7205
5569,6703
5595,7012
5528,7281
5648,7264
5525,7485
5727,7696
5642,6948
5572,7452
5671,7181
5751,6907
5719,6885
5678,6998
5702,6241
5507,6656
5749,7279
5420,6737
5366,6616
5736,6214
5598,7202
5587,7093
5733,7163
5593,6960
5489,6739
5564,6898
5827,7237
5681,6770
5691,7272
5553,6481
5620,7187
5657,6833
5799,7043
5741,7051
5710,6741
5836,7543
5758,7162
5603,7372
5579,6878
5574,6994
5677,7163
5591,6426
5487,6660
5651,6679
5572,7129
5599,7177
5330,7033
5735,7324
5680,6573
5615,6834
5471,6962
5658,6928
5636,7116
5536,6988
5451,6908
5693,7298
5615,7036
5624,6325
5685,6444
5520,6748
5802,6852
5749,7249
5568,6979
5532,6804
5645,7208
5734,6782
5708,6340
6031,6820
5507,6872
5713,6925
5554,6972
5700,6767
5646,6763
5730,6996
5766,6683
5445,6940
5757,6799
5578,6225
5842,6622
5458,7221
5653,6950
5811,6306
5571,6771
5847,7345
5561,7353
5602,6461
5448,7116
5787,7321
5758,6841
5462,6476
5766,6781
5780,7176
5663,6768
5567,7321
5611,7428
5597,7261
5433,6648
5542,6818
5757,6789
5538,6772
5513,6327
5603,7370
5605,7143
5789,6175
5386,7104
5595,7174
5372,6820
5629,7291
5817,6481
5467,7499
5496,6978
5656,6491
5459,6867
5497,6691
5535,7112
5415,6377
5653,6887
5444,6726
5476,6879
5824,6968
5598,6421
5709,6929
5638,7154
5748,7590
5653,6684
5736,6837
5400,6623
5420,6206
5777,7079
5669,6920
5665,7059
5567,6791
5559,6885
5593,7173
5487,7094
5687,7059
5648,5840
5798,7074
5646,7052
5604,6781
5754,6914
5283,6448
5749,7280
5527,6831
5440,7016
5638,6840
5686,6875
5756,7162
5817,6692
5653,7097
5379,7342
5596,6821
5629,7276
5595,7385
5605,6680
5987,7211
5436,7107
5705,6899
5688,6396
5507,7227
5655,7203
5563,6869
5405,6954
5563,6788
5502,6706
5622,6841
5502,6715
5709,6799
5731,6592
5742,6941
5615,6416
5435,7003
5632,7005
5654,6928
5521,6890
5703,7447
5569,7196
5371,6618
5510,6508
5901,7627
5734,6812
5507,7268
5764,7438
5766,6836
5700,7222
5652,6873
5589,7180
5454,7178
5624,7222
5627,6264
5786,6907
5668,7036
5722,6767
5729,7055
5620,7361
5538,6467
5311,7161
5539,6118
5471,6821
5647,7019
5519,7481
5413,7199
5724,7251
5568,7547
5644,6770
5624,6411
5534,6409
5639,7079
5703,6939
5636,7236
5570,7027
5599,6802
5495,7166
5577,7001
5608,7283
5558,7031
5663,6811
5623,7236
5662,6787
5562,6900
5555,7579
5554,6686
5537,6733
5615,6657
5610,6693
5571,7099
5623,6989
5428,7252
5383,6875
5832,7275
5664,6923
5631,7405
5590,6739
5623,7460
5382,6591
5579,7306
5704,6834
5786,6699
5370,6632
5505,6850
5497,6526
5453,6910
5561,7546
5581,6714
5637,6968
5396,6411
5384,6680
5599,6582
5623,6726
5699,7037
5845,6728
5511,6923
5606,7180
5478,6977
5699,7452
5670,6867
5529,6278
5597,6783
5478,7261
5431,7033
5532,6924
5448,7066
5676,6644
5700,6668
5508,7093
5789,7056
5799,6443
5543,6667
5540,7030
5683,6817
5569,6892
5566,7862
5706,6678
5621,6574
5646,6552
5442,6745
5554,5935
5551,7048
5747,7196
5525,6779
5636,6796
5386,7158
5323,7279
5508,6920
5630,6925
5836,7153
5813,7335
5418,6728
5941,7091
5386,7275
5545,7192
5735,6872
5730,7513
5546,6867
5521,6859
5516,6715
5800,6931
5548,7336
5597,6811
5751,6942
5815,6735
5666,7509
5581,6960
5376,6663
5662,7077
5664,6890
5506,7189
5655,6843
5646,7087
5619,6705
5736,7055
5559,6756
5734,7380
5567,6796
5609,6791
5565,7019
5560,6763
5772,6501
5725,7122
5903,7060
5527,6528
5831,7324
5656,6957
5720,7240
5867,7358
5578,6739
5657,7136
5652,7312
5548,6262
5676,6975
5874,6720
5551,7130
5659,6742
5764,6788
5650,7102
5665,7336
5669,6795
5785,7343
5741,7002
5599,6969
5572,6982
5580,7066
5477,7189
5621,7077
5864,6718
5599,6808
6078,7346
5504,6469
5516,7403
5520,6323
5472,7158
5599,7029
5485,6612
5734,6839
5851,7447
5372,6846
5289,6861
5401,6896
5611,6435
5757,7144
5861,7303
5740,6368
5834,6847
5554,6545
5490,6932
5885,7283
5615,6558
5426,7042
5712,6635
5550,6889
5614,6950
5726,7293
5506,7177
5392,6809
5397,6953
5528,7071
5574,6851
5680,7464
5564,6553
5466,6402
5787,7080
5525,6401
5679,6648
5584,6639
5837,6832
5744,6779
5369,7053
5520,7324
6017,7216
5737,6960
5503,6837
5649,7120
5523,6979
5655,6943
5682,6537
5479,7229
5630,6849
5670,6826
5521,7253
5421,7097
5649,6772
5447,6843
5621,6468
5391,6905
5464,6272
5568,7437
5797,7104
5585,7226
5410,6429
5734,6886
5714,6713
5587,7464
5365,6767
5588,7068
5636,7374
5642,6452
5772,7213
5469,6298
5531,6948
5664,6811
5789,7114
5538,7775
5636,6542
5663,6913
5724,6486
5294,6608
5624,7123
5622,6637
5688,6537
5573,6981
5633,6685
5839,7327
5583,7320
5652,6992
5647,7090
5519,7062
5581,6421
5613,6687
5727,6887
5423,6761
5668,6757
5641,7371
5546,6427
5652,6843
5654,7145
5609,6943
5558,6976
5764,6958
5648,6807
5553,6485
5514,7001
5633,7300
5508,6701
5495,6967
5854,7318
5711,6767
5559,7510
5593,6612
5589,6902
5639,7127
5668,6972
5697,7417
5779,6591
5592,6521
5678,7106
5517,6261
5644,7647
5420,7159
5631,6600
5672,6779
5664,7188
5573,6705
5617,7134
5545,7119
5491,6511
5581,7367
5440,7458
5708,7278
5527,6991
5527,6186
5728,6341
5548,7482
5563,7509
5464,7616
5375,6704
5561,6407
5586,6978
5722,6871
5745,6954
5575,6922
5574,6413
5577,7364
5749,6960
5421,6876
5630,6710
5427,6959
5705,6675
5600,7060
5560,6742
5522,6788
5440,6969
5514,7286
5520,7037
5599,6831
5513,6631
5641,6945
5360,6719
5587,6874
5575,6742
5384,7210
5827,7245
5519,6780
5561,6964
5644,6941
5633,6802
5707,6788
5549,7215
5802,7177
5529,6877
5715,6477
5670,6463
5560,6597
5757,6885
5794,7033
5537,6517
5553,7248
5570,6812
5720,7342
5733,6917
5443,6788
5482,6503
5762,6685
5547,6334
5673,7466
5522,6656
5475,7288
5749,7041
5551,6566
5749,6762
5605,7154
5572,6845
5674,6596
5511,6872
5492,6298
5320,6800
5723,7025
5533,7241
5490,6861
5646,6778
5709,7181
5643,6851
5543,7073
5552,7351
5642,7094
5597,7022
5611,7011
5613,7323
5887,7388
5747,7048
5496,7209
5871,7094
5648,7490
5576,6768
5640,6674
5600,6972
5553,6898
5598,7267
5675,6323
5557,7322
5640,6788
5429,6452
5506,7075
5575,6444
5624,6976
5713,7362
5839,7765
5478,7113
5532,7048
5467,6555
5538,6866
5818,7250
5557,6628
5864,6237
5745,7110
5572,6706
5504,6777
5545,6405
5712,6768
5509,7485
5539,7281
5803,6536
5557,6740
5414,6780
5614,7297
5660,6698
5594,6716
5465,7230
5402,6919
5610,7166
5679,6647
5732,7045
5533,6422
5536,6730
5617,6929
5694,6885
5768,7006
5749,6863
5714,6551
5681,7319
5566,6402
5593,6911
5721,6813
5485,7093
5434,6907
5598,6979
5662,6415
5557,6600
5694,7252
5654,6423
5626,7137
5554,6991
5578,7176
5496,6753
5695,7158
5703,6677
5624,6816
5653,7533
5588,6482
5632,7021
5650,7403
5680,6773
5513,6944
5497,7038
5577,7182
5625,6928
5536,7093
5537,7363
5549,6654
5636,6650
5462,7085
5712,7182
5634,6958
5568,7202
5536,7372
5683,7251
5666,6659
5735,7455
5557,7165
5617,6861
5370,7184
5479,6546
5662,6904
5673,6536
5618,7253
5465,6670
5635,6459
5627,6811
5749,6943
5797,7093
5629,6439
5585,6436
5631,6815
5534,7402
5450,6936
5456,7029
5442,6742
5622,6583
5610,7169
5604,6997
5593,7168
5457,6612
5437,7195
5583,7102
5539,6874
5587,6802
5824,6975
5593,7167
5812,7134
5468,7161
5702,6295
5650,6910
5632,6868
5594,6478
5599,6771
5485,7107
5478,7263
5627,7014
5747,6877
5627,6704
5762,6664
5693,6802
5519,6915
5669,6485
5440,6958
5679,7051
5665,7448
5460,6846
5408,6934
5628,7194
5555,6771
5720,7458
5554,7305
5974,6909
5577,6706
5583,6877
5704,7258
5371,6342
5523,6955
5558,6783
5651,6634
5761,7003
5533,7015
5638,6886
5582,6920
5538,6743
5500,6887
5505,6711
5655,7254
5684,6755
5614,7446
5560,6782
5645,6801
5629,6724
5707,7571
5779,6927
5579,6684
5755,6669
5749,7169
5880,6910
5544,7497
5645,7022
5795,7458
5414,7224
5715,6850
5485,6986
5444,6762
5293,6876
5741,6780
5587,6424
5756,6820
5781,6876
5846,6753
5502,6360
5720,7183
5777,7205
5618,6869
5503,7170
5795,6622
5728,7117
5688,6765
5613,6924
5500,7103
5542,7062
5654,7151
5633,6885
5615,7101
5562,6622
5773,6412
5907,6294
5604,7002
5741,7168
5716,7080
5565,6515
5542,6805
5945,7114
5292,7155
5323,6195
5653,7161
5412,7006
5403,6602
5598,6512
5612,7266
5594,6517
5774,7044
5664,6553
5585,6510
5763,7219
5676,6948
5702,6869
5477,6986
5587,6683
5541,6539
5441,6998
5536,6699
5846,7142
5686,7238
5935,7345
5433,7107
5571,6468
5411,7152
5521,6951
5206,6581
5599,6987
5834,7497
5738,7177
5468,7382
5569,6977
5656,7178
5716,6810
5632,6550
5521,6675
5498,7146
5524,7086
5651,7005
5642,6664
5479,7011
5490,6681
5481,6880
5671,6992
5584,6480
5624,7268
5691,6553
5468,7249
5601,6959
5527,6983
5718,7119
5723,6801
5751,6791
5633,6769
5471,6248
5716,6961
5767,6961
5560,6747
5577,7169
5601,6921
5796,6454
5646,6947
5458,7347
5713,7071
5830,6491
5826,6782
5725,7091
5685,7535
5770,6847
5609,6485
5679,6891
5586,6178
5738,6954
5758,6897
5669,6811
5685,7179
5914,7190
5518,7132
5713,6788
5565,6973
5423,7345
5523,6404
5435,6873
5334,6994
5529,6918
5580,6599
5497,6563
5511,6379
5638,6961
5425,7142
5385,7078
5623,6735
5613,7224
5797,6780
5570,6486
5585,7148
5870,7046
5611,7076
5401,6821
5624,7287
5664,6800
5824,6543
5551,7281
5663,6778
5749,7253
5808,7341
5613,6490
5606,7225
5655,7120
5567,7154
5705,7266
5608,7104
5523,6821
5706,6817
5320,6860
5679,6580
5481,6318
5619,6652
5578,7028
5363,6444
5647,7940
5586,6864
5706,6881
5775,6651
5533,7082
5549,6828
5680,6782
5515,6872
5592,7111
5541,6716
5599,6693
5750,6682
5567,7166
5859,6372
5613,7333
5777,6291
5623,6874
5633,6929
5594,6525
5698,6887
5648,7105
5677,6895
5758,6538
5524,6524
5528,7051
5478,6938
5512,6862
5715,7275
5618,7120
5369,6798
5658,6784
5565,7005
5603,7176
5678,6729
5592,6855
5810,7008
5633,6691
5456,6707
5490,6453
5657,6639
5744,6696
5665,6807
5714,6753
5809,7090
5806,6761
5838,6699
5808,6772
5684,7076
5472,7336
5648,6956
5599,6716
5639,7025
5433,6953
5673,6952
5693,6994
5622,6359
5493,6786
5614,6673
5501,6593
5738,7170
5672,6516
5688,6911
5661,6824
5712,6911
5745,7484
5544,7175
5569,7256
5822,7010
5748,6791
5639,6759
5780,6638
5599,7125
5600,6697
5891,7455
5764,6923
5771,6503
5679,7005
5644,7428
5445,6845
5564,6602
5568,6884
5710,7306
5696,6715
5491,7475
5526,6700
5645,7308
5710,7566
5772,6809
5770,6965
5610,6551
5603,6587
5602,6984
5748,6689
5641,6486
5673,6582
5787,7053
5664,7828
5498,6989
5629,7297
5689,7265
5352,7002
5575,6858
5455,7086
5667,6996
5530,6604
5643,7019
5578,7214
5408,7211
5599,6922
5727,6488
5715,6817
5524,6596
5552,7063
5633,7437
5527,7096
5433,7251
5479,6655
5847,7496
5583,6739
5346,6828
5800,6837
5523,7259
5682,6611
5616,6871
5651,7343
5571,6891
5560,6154
5738,6764
5588,7222
5315,7271
5491,6936
5484,7128
5429,6866
5799,6684
5803,6333
5615,7269
5718,6709
5685,7275
5598,6936
5552,6772
5588,6844
5577,6383
5578,7115
5573,7131
5638,6444
5709,7108
5587,7002
5404,7219
5700,6721
5415,6636
5663,6396
5505,7095
5643,7376
5646,7178
5708,6833
5613,6695
5565,6998
5579,7288
5495,7008
5567,6700
5609,7029
5561,6752
5552,6952
5618,7130
5501,7166
5559,6586
5492,6521
5670,6508
5713,6264
5502,6805
5609,6750
5511,7080
5875,7089
5753,6430
5549,7380
5648,7010
5866,7032
5616,6824
5637,6196
5584,6588
5540,6860
5495,7263
5346,7021
5447,6975
5709,7099
5561,7189
5658,6635
5784,7290
5737,6840
5518,6946
5637,6785
5490,7112
5401,6884
5715,7563
5788,7273
5612,6926
5402,7410
5963,7311
5515,6637
5644,6694
5532,6419
5421,6442
5733,6895
5702,6391
5629,6893
5547,6678
5492,6561
5609,7440
5485,7154
5557,6803
5649,6664
5381,7171
5562,6836
5578,6763
5647,6742
5287,6801
5750,7064
5569,6802
5564,6655
5763,6544
5728,6550
5545,6464
5663,6756
5514,6939
5541,7102
5600,6096
5768,6533
5520,7018
5702,6659
5566,6352
5694,6465
5571,6578
5430,6493
5612,7007
5394,6917
5774,6881
5541,6848
5541,7218
5700,7057
5652,6945
5543,6899
5477,6556
5691,6840
5733,7334
5548,7176
5620,7375
5711,7196
5482,7584
5704,6838
5547,6998
5758,6242
5477,7163
5530,7141
5686,6674
5613,6986
5505,6926
5648,7082
5738,6593
5747,6983
5464,6758
5537,6785
5721,6977
5861,7029
5650,6759
5660,7360
5610,7238
5918,6942
5658,7401
5634,6961
5720,6576
5800,6674
5785,6706
5494,7116
5711,6719
5691,7071
5695,7365
5698,6993
5678,6852
5583,7056
5732,6783
5682,7034
5619,6445
5533,7107
5486,6662
5688,6743
5838,6508
5625,7161
5670,6314
