"CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL"
5853,6802
5640,7414
5907,7128
5710,6888
5705,6645
5892,7212
5846,7538
5812,6863
5752,6865
5890,7053
5760,7295
5740,7010
5785,6792
5729,6879
5708,6888
5967,7539
5495,7264
5988,7109
5837,7248
5893,7326
5708,7582
5871,7173
5678,7192
5926,6940
5709,7282
5655,7301
5957,7170
5543,7178
5902,7291
5681,7585
5937,6870
5565,7134
5950,7215
6167,7286
5792,7146
5635,7016
5980,7300
6008,7441
5887,6929
5623,7113
5641,6551
5586,6821
5715,7066
5936,6998
5787,7188
5700,7127
5800,6926
5560,6629
5717,6757
5746,7392
5866,7260
5745,6994
6095,6912
6067,7453
5998,6988
5947,7373
5702,7245
6035,7267
5764,7069
5748,6900
5814,6813
5520,6853
5905,7380
6070,6886
5757,7293
5912,6886
6070,7222
5839,7171
5853,7089
5756,7333
5721,7013
5709,7290
5975,7395
5989,7486
5703,6884
5719,6937
5936,7284
5870,7560
5611,6809
5613,6671
5894,7154
5963,7229
5670,6785
5653,6791
5638,6827
5938,7167
5931,7247
5851,7045
5801,7184
6142,7570
6171,7347
5805,7174
5940,7113
5760,7039
5582,6704
5792,7046
5800,7023
6030,6883
5735,6912
5782,6883
6011,7041
5796,7039
5623,7203
5942,7226
5741,6934
6099,6977
5836,7202
5675,7246
5845,7016
5906,7398
5701,7129
6042,6935
5753,6854
5769,7305
5596,7248
6155,7228
5635,6968
5843,7313
5990,7413
5819,6991
5822,6921
5621,6970
5760,7081
5752,6851
5928,7328
5609,6902
5663,6524
6001,7255
5598,7266
6029,7244
5813,7014
5940,7101
5811,6957
5771,7215
5762,6547
5694,6891
5888,7302
5975,7210
5830,7182
5814,6993
5937,7133
5673,7052
5773,6436
6014,7169
5772,7078
5594,7296
5785,7400
5942,6626
5936,7355
5690,7059
6140,6897
5818,6913
5772,7445
5569,7457
6079,7096
5725,6875
5809,6746
5672,7156
5805,7128
5908,7215
5904,6873
5840,7057
5904,7080
5506,7067
5890,7145
5763,7199
5760,7166
5790,7077
5698,7181
5534,6840
5829,6871
5805,6860
6112,7276
5607,6883
6095,7546
6193,7047
5857,7348
5909,6855
5809,7317
5837,6747
5832,7078
5581,7118
5710,7009
5634,7089
5795,7233
5687,7495
5744,7557
5751,7244
5695,7274
5842,7314
5682,6997
5738,6913
5652,6616
5889,7008
5593,6600
5670,7428
5863,7066
5721,7224
5912,7338
6104,7307
5761,6993
5921,7320
5836,7157
5986,7277
5647,7239
5745,7141
5932,7499
5808,7032
5844,7434
5956,7106
5852,7627
5667,7130
5948,7186
5817,6925
5960,7157
5727,7039
5762,7512
5711,7507
5962,7322
6042,7194
5784,7274
5851,6761
5742,7671
5802,6842
5687,7479
5649,7039
5807,7201
6101,7284
5793,7220
5679,6519
5732,6995
5705,7380
5713,7440
5788,6867
5790,6856
5685,6797
5941,7134
5591,6963
5810,7477
5837,6951
5744,7043
5877,7092
5879,7367
5799,7440
5514,6973
6110,7122
5762,6835
5831,7024
5870,7369
5966,6964
5657,7574
5861,7042
5692,6868
5818,7130
5710,6881
5731,6954
5845,7366
5644,6755
5858,7006
5711,7126
5820,7078
5771,7190
5816,6592
5698,7290
5703,7022
5572,6992
5799,7392
5827,7729
5634,7328
5721,7109
5857,7166
5828,7326
5665,6822
5704,6812
5591,7168
5671,7002
5828,6589
5744,6991
5670,7346
5588,7298
5975,7453
5785,7070
5926,7361
6107,7355
5848,6893
5867,6928
5677,7140
5828,7230
6026,7304
5642,6861
5787,7353
5734,7156
6112,7363
5914,7027
5445,7031
5835,7335
5880,6884
6098,7330
5898,7217
5626,7196
5712,6925
5810,6970
5807,7037
5704,6733
5745,7255
5665,6574
5913,7121
5645,6914
5917,7268
5761,7282
5823,7580
5540,6548
5656,7555
6041,7183
6074,7635
5679,7119
5710,7513
5631,7235
5979,7321
5771,6849
5870,6890
5792,7252
6001,7167
5937,7427
5684,7027
5802,6800
5991,7551
5946,7301
5919,6793
5730,7001
5789,7119
5746,6508
5821,6789
5838,7205
5854,7395
5625,6914
5936,6787
5733,7089
5883,7296
5835,7236
5814,6968
5723,6481
6026,7305
5953,7765
5825,6899
5756,7003
5704,7266
5614,7011
5721,7066
5824,7184
5828,7079
5703,7116
5924,6959
5948,6851
5899,7141
5917,6538
5908,7346
5713,7189
6149,7479
5664,7002
5852,7173
5860,7491
5675,6959
5916,7511
5796,7196
5828,7746
5814,7155
5814,7043
6162,7342
5984,7599
5794,7264
5738,7016
5823,7387
5653,7040
5775,7177
5695,7398
5931,7163
6027,7201
5937,7337
5749,7564
5986,7194
6001,7364
5808,7455
5826,7131
5754,6974
5793,7131
5779,6762
5896,7070
5541,7544
5806,7021
5899,6832
5905,7128
5791,6392
5853,6900
5923,6935
5893,6882
5743,7136
5764,7306
5853,7232
5932,6811
5820,6756
5935,7473
5881,7006
5889,7467
6048,6967
5843,6756
5629,7088
5784,6917
6020,7090
5464,6442
5592,7170
5869,6832
5843,7210
5897,7180
5616,6933
6083,7637
5841,7442
5697,7043
5734,7028
5743,7209
5873,7415
5798,7248
5693,6748
5809,6803
5865,7446
5663,6771
5682,7034
5870,7225
5939,7271
5780,6930
5848,7460
5648,6963
5690,7125
5748,6692
5921,7168
5873,6859
5857,7445
5955,7396
5368,7213
5847,7166
5743,7240
6036,7203
5648,7231
5790,6895
6040,7139
5647,7121
5901,7446
5931,6979
5845,7257
5947,7032
5545,6818
5795,7304
5803,6884
5658,7192
5805,6547
5745,6829
5826,7442
5844,7276
5975,6608
5917,7012
5748,6828
5638,7127
5760,6941
5754,7130
5566,6638
5826,7006
6036,7241
5552,7056
5951,7290
5687,7102
5915,7243
5996,7213
5817,7474
5931,7382
5863,7440
5944,7380
5548,7078
6053,7132
5919,6940
5597,7075
6017,7086
5858,6886
5558,7153
5746,6922
5811,7214
5747,6957
5689,7178
5900,7074
5774,7152
5889,7365
5646,6857
5733,7344
5608,7075
5944,7015
5764,6858
5862,7286
5837,7172
5916,6768
5689,7321
5641,7016
5926,7486
5712,6697
5788,7215
5893,7103
5714,7022
6048,7161
5683,6990
5793,7218
5893,7074
5820,7014
5989,7657
5653,6846
5606,6854
5818,7295
